character_female,lugar,lat,long,stops_female
Semprilis,Zaragoza,41.6488226,-0.8890853,1
Semprilis,Barcelona,41.3850639,2.1734035,2
Semprilis,Isla del León (Mediterráneo),34.55313,18.04801,3
Semprilis,Larache,35.1744271,-6.1473964,4
Semprilis,Licco (Alquería en el río Lucus),35.211408,-6.133057,5
Semprilis,Cracovia,50.0646501,19.9449799,6
Semprilis,Isla Bárbara (Mediterráneo),37.703672,5.201166,7
Semprilis,Loango,34.25,-14.99,8
Semprilis,Isla de Feliciana (Atlántico),34.54,-8.88,9
Semprilis,Sevilla,37.3890924,-5.9844589,10
Semprilis,Archilla,40.6851594,-2.9166592,11
Semprilis,Daroca,41.1144048,-1.4144344,12
Semprilis,Zaragoza,41.654856,-0.874777,13
